category,card_number,player_or_subject,team,serial_or_notes,source
Downtown,1,Lamar Jackson,Baltimore Ravens,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,2,Josh Allen,Buffalo Bills,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,3,Tyreek Hill,Miami Dolphins,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,4,Brock Purdy,San Francisco 49ers,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,5,Jordan Love,Green Bay Packers,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,6,Sam LaPorta,Detroit Lions,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,7,Travis Kelce,Kansas City Chiefs,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,8,Terrell Owens,Dallas Cowboys,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,9,Dick Butkus,Chicago Bears,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,10,Terry Bradshaw,Pittsburgh Steelers,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,11,J.J. McCarthy,Minnesota Vikings,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,12,Marvin Harrison Jr.,Arizona Cardinals,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,13,Drake Maye,New England Patriots,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,14,Michael Penix Jr.,Atlanta Falcons,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,15,Rome Odunze,Chicago Bears,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,16,Jayden Daniels,Washington Commanders,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,17,Brock Bowers,Las Vegas Raiders,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,18,Malik Nabers,New York Giants,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,19,Bo Nix,Denver Broncos,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,20,Puka Nacua,Los Angeles Rams,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,21,Caleb Williams,Chicago Bears,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,22,Breece Hall,New York Jets,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,23,Maxx Crosby,Las Vegas Raiders,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,24,Terrell Davis,Denver Broncos,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Downtown,25,Michael Vick,Atlanta Falcons,"Black Pandora /25; Gold /10; Gold Vinyl 1/1; White Sparkle 1/1",Beckett
Rated Rookie,201,Caleb Williams,Chicago Bears,"Rated Rookie; Holo and full parallel rainbow available",Beckett
Rated Rookie,219,Chop Robinson,Miami Dolphins,"Rated Rookie",Beckett
Rated Rookie,221,Cooper DeJean,Philadelphia Eagles,"Rated Rookie",Beckett
Rated Rookie,229,Drake Maye,New England Patriots,"Rated Rookie",Beckett
Rated Rookie,238,Jaheim Bell,New England Patriots,"Rated Rookie",Beckett
Rated Rookie,240,Ja'Lynn Polk,New England Patriots,"Rated Rookie",Beckett
Rated Rookie,245,Javon Baker,New England Patriots,"Rated Rookie",Beckett
Rated Rookie,249,Jaylen Wright,Miami Dolphins,"Rated Rookie",Beckett
Rated Rookie,250,Jeremiah Trotter Jr.,Philadelphia Eagles,"Rated Rookie",Beckett
Rated Rookie,255,Joe Milton III,New England Patriots,"Rated Rookie",Beckett
Rated Rookie,256,Johnny Wilson,Philadelphia Eagles,"Rated Rookie",Beckett
Rated Rookie,263,Keon Coleman,Buffalo Bills,"Rated Rookie",Beckett
Rated Rookie,272,Malik Washington,Miami Dolphins,"Rated Rookie",Beckett
Rated Rookie,278,Tory Taylor,Chicago Bears,"Rated Rookie",Beckett
Rated Rookie,282,Quinyon Mitchell,Philadelphia Eagles,"Rated Rookie",Beckett
Rated Rookie,283,Ray Davis,Buffalo Bills,"Rated Rookie",Beckett
Rated Rookie,286,Rome Odunze,Chicago Bears,"Rated Rookie",Beckett
Rated Rookie,298,Will Shipley,Philadelphia Eagles,"Rated Rookie",Beckett
