cardNumber,v2Player,v2Team,beckettPlayer,beckettTeam,status
201,Caleb Williams,Chicago Bears,Caleb Williams,Chicago Bears,MATCH
202,Adisa Isaac,Baltimore Ravens,,,MISSING_BECKETT
203,Adonai Mitchell,Indianapolis Colts,,,MISSING_BECKETT
204,AJ Barner,Seattle Seahawks,,,MISSING_BECKETT
205,Anthony Gould,Indianapolis Colts,,,MISSING_BECKETT
206,Audric Estime,Denver Broncos,,,MISSING_BECKETT
207,Ben Sinnott,Washington Commanders,,,MISSING_BECKETT
208,Blake Corum,Los Angeles Rams,,,MISSING_BECKETT
209,Bo Nix,Denver Broncos,,,MISSING_BECKETT
210,Braden Fiske,Los Angeles Rams,,,MISSING_BECKETT
211,Braelon Allen,New York Jets,,,MISSING_BECKETT
212,Bralen Trice,Atlanta Falcons,,,MISSING_BECKETT
213,Brenden Rice,Los Angeles Chargers,,,MISSING_BECKETT
214,Brian Thomas Jr.,Jacksonville Jaguars,,,MISSING_BECKETT
215,Brock Bowers,Las Vegas Raiders,,,MISSING_BECKETT
216,Bucky Irving,Tampa Bay Buccaneers,,,MISSING_BECKETT
217,Byron Murphy II,Seattle Seahawks,,,MISSING_BECKETT
218,Cade Stover,Houston Texans,,,MISSING_BECKETT
219,Chop Robinson,Miami Dolphins,,,MISSING_BECKETT
220,Chris Braswell,Tampa Bay Buccaneers,,,MISSING_BECKETT
221,Cooper DeJean,Philadelphia Eagles,,,MISSING_BECKETT
222,D.J. James,Seattle Seahawks,,,MISSING_BECKETT
223,Daijun Edwards,Pittsburgh Steelers,,,MISSING_BECKETT
224,Dallas Turner,Minnesota Vikings,,,MISSING_BECKETT
225,Darius Robinson,Arizona Cardinals,,,MISSING_BECKETT
226,Devin Culp,Tampa Bay Buccaneers,,,MISSING_BECKETT
227,Devin Leary,Baltimore Ravens,,,MISSING_BECKETT
228,Devontez Walker,Baltimore Ravens,,,MISSING_BECKETT
229,Drake Maye,New England Patriots,,,MISSING_BECKETT
230,Dylan Laube,Las Vegas Raiders,,,MISSING_BECKETT
231,Edgerrin Cooper,Green Bay Packers,,,MISSING_BECKETT
232,Ennis Rakestraw Jr.,Detroit Lions,,,MISSING_BECKETT
233,Erick All Jr.,Cincinnati Bengals,,,MISSING_BECKETT
234,J.C. Latham,Tennessee Titans,,,MISSING_BECKETT
235,J.J. McCarthy,Minnesota Vikings,,,MISSING_BECKETT
236,Jacob Cowing,San Francisco 49ers,,,MISSING_BECKETT
237,Jaden Hicks,Kansas City Chiefs,Jaden Hicks,Kansas City Chiefs,MATCH
238,Jaheim Bell,New England Patriots,,,MISSING_BECKETT
239,Jalen McMillan,Tampa Bay Buccaneers,,,MISSING_BECKETT
240,Ja'Lynn Polk,New England Patriots,,,MISSING_BECKETT
241,Jamari Thrash,Cleveland Browns,,,MISSING_BECKETT
242,Jared Verse,Los Angeles Rams,,,MISSING_BECKETT
243,Jase McClellan,Atlanta Falcons,,,MISSING_BECKETT
244,Ja'Tavion Sanders,Carolina Panthers,,,MISSING_BECKETT
245,Javon Baker,New England Patriots,,,MISSING_BECKETT
246,Javon Bullard,Green Bay Packers,,,MISSING_BECKETT
247,Jawhar Jordan,Houston Texans,,,MISSING_BECKETT
248,Jayden Daniels,Washington Commanders,,,MISSING_BECKETT
249,Jaylen Wright,Miami Dolphins,,,MISSING_BECKETT
250,Jeremiah Trotter Jr.,Philadelphia Eagles,,,MISSING_BECKETT
251,Jermaine Burton,Cincinnati Bengals,,,MISSING_BECKETT
252,Jer'Zhan Newton,Washington Commanders,,,MISSING_BECKETT
253,Jha'Quan Jackson,Tennessee Titans,,,MISSING_BECKETT
254,Joe Alt,Los Angeles Chargers,,,MISSING_BECKETT
255,Joe Milton III,New England Patriots,,,MISSING_BECKETT
256,Johnny Wilson,Philadelphia Eagles,,,MISSING_BECKETT
257,Jonah Elliss,Denver Broncos,,,MISSING_BECKETT
258,Jonathon Brooks,Carolina Panthers,,,MISSING_BECKETT
259,Tyrone Tracy Jr.,New York Giants,,,MISSING_BECKETT
260,Jordan Travis,New York Jets,,,MISSING_BECKETT
261,Kamari Lassiter,Houston Texans,,,MISSING_BECKETT
262,Kimani Vidal,Los Angeles Chargers,,,MISSING_BECKETT
263,Keon Coleman,Buffalo Bills,,,MISSING_BECKETT
