cardNumber,player,team,source1Status,source2Evidence,verificationStatus
201,Caleb Williams,Chicago Bears,Checklist Insider (source1),"Beckett product catalog pages for 2024 Donruss Optic Green Velocity #201 Caleb Williams RR and Purple Shock #201 Caleb Williams RR (parallels of base card #201) - domain-restricted beckett.com search, distinct from Checklist Insider.",VERIFIED_TWO_SOURCE
202,Adisa Isaac,Baltimore Ravens,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
203,Adonai Mitchell,Indianapolis Colts,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
204,AJ Barner,Seattle Seahawks,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
205,Anthony Gould,Indianapolis Colts,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
206,Audric Estime,Denver Broncos,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
207,Ben Sinnott,Washington Commanders,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
208,Blake Corum,Los Angeles Rams,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
209,Bo Nix,Denver Broncos,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
210,Braden Fiske,Los Angeles Rams,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
211,Braelon Allen,New York Jets,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
212,Bralen Trice,Atlanta Falcons,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
213,Brenden Rice,Los Angeles Chargers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
214,Brian Thomas Jr.,Jacksonville Jaguars,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
215,Brock Bowers,Las Vegas Raiders,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
216,Bucky Irving,Tampa Bay Buccaneers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
217,Byron Murphy II,Seattle Seahawks,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
218,Cade Stover,Houston Texans,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
219,Chop Robinson,Miami Dolphins,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
220,Chris Braswell,Tampa Bay Buccaneers,Checklist Insider (source1),"Beckett-domain search attempted, no clean/unambiguous per-card confirmation returned (one query for #300 returned a conflicting answer citing a different card number for the same player - treated as inconclusive, not confirming).",NEEDS_REVIEW
221,Cooper DeJean,Philadelphia Eagles,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
222,D.J. James,Seattle Seahawks,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
223,Daijun Edwards,Pittsburgh Steelers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
224,Dallas Turner,Minnesota Vikings,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
225,Darius Robinson,Arizona Cardinals,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
226,Devin Culp,Tampa Bay Buccaneers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
227,Devin Leary,Baltimore Ravens,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
228,Devontez Walker,Baltimore Ravens,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
229,Drake Maye,New England Patriots,Checklist Insider (source1),"Beckett-domain search attempted, no clean/unambiguous per-card confirmation returned (one query for #300 returned a conflicting answer citing a different card number for the same player - treated as inconclusive, not confirming).",NEEDS_REVIEW
230,Dylan Laube,Las Vegas Raiders,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
231,Edgerrin Cooper,Green Bay Packers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
232,Ennis Rakestraw Jr.,Detroit Lions,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
233,Erick All Jr.,Cincinnati Bengals,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
234,J.C. Latham,Tennessee Titans,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
235,J.J. McCarthy,Minnesota Vikings,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
236,Jacob Cowing,San Francisco 49ers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
237,Jaden Hicks,Kansas City Chiefs,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
238,Jaheim Bell,New England Patriots,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
239,Jalen McMillan,Tampa Bay Buccaneers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
240,Ja'Lynn Polk,New England Patriots,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
241,Jamari Thrash,Cleveland Browns,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
