category,card_number,player_or_subject,team,notes,source
Aurora,1,Tyreek Hill,Miami Dolphins,"20-card SSP insert",ChecklistCenter
Aurora,2,CeeDee Lamb,Dallas Cowboys,"20-card SSP insert",ChecklistCenter
Aurora,3,Courtland Sutton,Denver Broncos,"20-card SSP insert",ChecklistCenter
Aurora,4,Derrick Henry,Baltimore Ravens,"20-card SSP insert",ChecklistCenter
Aurora,5,Jalen Hurts,Philadelphia Eagles,"20-card SSP insert",ChecklistCenter
Aurora,6,Austin Ekeler,Washington Commanders,"20-card SSP insert",ChecklistCenter
Aurora,7,Patrick Mahomes II,Kansas City Chiefs,"20-card SSP insert",ChecklistCenter
Aurora,8,Josh Jacobs,Green Bay Packers,"20-card SSP insert",ChecklistCenter
Aurora,9,Josh Allen,Buffalo Bills,"20-card SSP insert",ChecklistCenter
Aurora,10,Davante Adams,Las Vegas Raiders,"20-card SSP insert",ChecklistCenter
Aurora,11,C.J. Stroud,Houston Texans,"20-card SSP insert",ChecklistCenter
Aurora,12,Christian McCaffrey,San Francisco 49ers,"20-card SSP insert",ChecklistCenter
Aurora,13,Chris Olave,New Orleans Saints,"20-card SSP insert",ChecklistCenter
Aurora,14,Amon-Ra St. Brown,Detroit Lions,"20-card SSP insert",ChecklistCenter
Aurora,15,Bijan Robinson,Atlanta Falcons,"20-card SSP insert",ChecklistCenter
Aurora,16,Rome Odunze,Chicago Bears,"20-card SSP insert",ChecklistCenter
Aurora,17,Brian Thomas Jr.,Jacksonville Jaguars,"20-card SSP insert",ChecklistCenter
Aurora,18,Malik Nabers,New York Giants,"20-card SSP insert",ChecklistCenter
Aurora,19,Xavier Worthy,Kansas City Chiefs,"20-card SSP insert",ChecklistCenter
Aurora,20,Marvin Harrison Jr.,Arizona Cardinals,"20-card SSP insert",ChecklistCenter
Color Blast,1,Caleb Williams,Chicago Bears,"35-card SSP insert",ChecklistCenter
Color Blast,2,Drake Maye,New England Patriots,"35-card SSP insert",ChecklistCenter
Color Blast,3,Jayden Daniels,Washington Commanders,"35-card SSP insert",ChecklistCenter
Color Blast,4,Bo Nix,Denver Broncos,"35-card SSP insert",ChecklistCenter
Color Blast,5,Marvin Harrison Jr.,Arizona Cardinals,"35-card SSP insert",ChecklistCenter
Color Blast,6,Malik Nabers,New York Giants,"35-card SSP insert",ChecklistCenter
Color Blast,7,Xavier Worthy,Kansas City Chiefs,"35-card SSP insert",ChecklistCenter
Color Blast,8,Brock Bowers,Las Vegas Raiders,"35-card SSP insert",ChecklistCenter
Color Blast,9,Michael Penix Jr.,Atlanta Falcons,"35-card SSP insert",ChecklistCenter
Color Blast,10,J.J. McCarthy,Minnesota Vikings,"35-card SSP insert",ChecklistCenter
Color Blast,11,Brian Thomas Jr.,Jacksonville Jaguars,"35-card SSP insert",ChecklistCenter
Color Blast,12,Rome Odunze,Chicago Bears,"35-card SSP insert",ChecklistCenter
Color Blast,13,MarShawn Lloyd,Green Bay Packers,"35-card SSP insert",ChecklistCenter
Color Blast,14,Jonathon Brooks,Carolina Panthers,"35-card SSP insert",ChecklistCenter
Color Blast,15,Xavier Legette,Carolina Panthers,"35-card SSP insert",ChecklistCenter
Color Blast,16,Ricky Pearsall,San Francisco 49ers,"35-card SSP insert",ChecklistCenter
Color Blast,17,Braelon Allen,New York Jets,"35-card SSP insert",ChecklistCenter
Color Blast,18,Kool-Aid McKinstry,New Orleans Saints,"35-card SSP insert",ChecklistCenter
Color Blast,19,Laiatu Latu,Indianapolis Colts,"35-card SSP insert",ChecklistCenter
Color Blast,20,Dallas Turner,Minnesota Vikings,"35-card SSP insert",ChecklistCenter
Color Blast,21,Myles Garrett,Cleveland Browns,"35-card SSP insert",ChecklistCenter
Color Blast,22,C.J. Stroud,Houston Texans,"35-card SSP insert",ChecklistCenter
Color Blast,23,Saquon Barkley,Philadelphia Eagles,"35-card SSP insert",ChecklistCenter
Color Blast,24,Dak Prescott,Dallas Cowboys,"35-card SSP insert",ChecklistCenter
Color Blast,25,Tua Tagovailoa,Miami Dolphins,"35-card SSP insert",ChecklistCenter
Color Blast,26,Kirk Cousins,Atlanta Falcons,"35-card SSP insert",ChecklistCenter
Color Blast,27,Lamar Jackson,Baltimore Ravens,"35-card SSP insert",ChecklistCenter
Color Blast,28,Josh Jacobs,Green Bay Packers,"35-card SSP insert",ChecklistCenter
Color Blast,29,Anthony Richardson,Indianapolis Colts,"35-card SSP insert",ChecklistCenter
Color Blast,30,Will Levis,Tennessee Titans,"35-card SSP insert",ChecklistCenter
Color Blast,31,Patrick Mahomes II,Kansas City Chiefs,"35-card SSP insert",ChecklistCenter
Color Blast,32,Josh Allen,Buffalo Bills,"35-card SSP insert",ChecklistCenter
Color Blast,33,Amon-Ra St. Brown,Detroit Lions,"35-card SSP insert",ChecklistCenter
Color Blast,34,Travis Kelce,Kansas City Chiefs,"35-card SSP insert",ChecklistCenter
Color Blast,35,Justin Jefferson,Minnesota Vikings,"35-card SSP insert",ChecklistCenter
Color Blast Duals,1,"Drake London / Michael Penix Jr.",Atlanta Falcons,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,2,"J.J. McCarthy / Justin Jefferson",Minnesota Vikings,"15-card dual SSP insert",ChecklistCenter
