card_number,player,team,rookie,source
301,Caleb Williams,Chicago Bears,TRUE,SetList/GTS
302,Adisa Isaac,Baltimore Ravens,TRUE,SetList/GTS
303,Adonai Mitchell,Indianapolis Colts,TRUE,SetList/GTS
304,AJ Barner,Seattle Seahawks,TRUE,SetList/GTS
305,Anthony Gould,Indianapolis Colts,TRUE,SetList/GTS
306,Audric Estime,Denver Broncos,TRUE,SetList/GTS
307,Ben Sinnott,Washington Commanders,TRUE,SetList/GTS
308,Blake Corum,Los Angeles Rams,TRUE,SetList/GTS
309,Bo Nix,Denver Broncos,TRUE,SetList/GTS
310,Braden Fiske,Los Angeles Rams,TRUE,SetList/GTS
311,Braelon Allen,New York Jets,TRUE,SetList/GTS
312,Bralen Trice,Atlanta Falcons,TRUE,SetList/GTS
313,Brenden Rice,Los Angeles Chargers,TRUE,SetList/GTS
314,Brian Thomas Jr.,Jacksonville Jaguars,TRUE,SetList/GTS
315,Brock Bowers,Las Vegas Raiders,TRUE,SetList/GTS
316,Bucky Irving,Tampa Bay Buccaneers,TRUE,SetList/GTS
317,Byron Murphy II,Seattle Seahawks,TRUE,SetList/GTS
318,Cade Stover,Houston Texans,TRUE,SetList/GTS
319,Chop Robinson,Miami Dolphins,TRUE,SetList/GTS
320,Chris Braswell,Tampa Bay Buccaneers,TRUE,SetList/GTS
321,Cooper DeJean,Philadelphia Eagles,TRUE,SetList/GTS
322,D.J. James,Seattle Seahawks,TRUE,SetList/GTS
323,Daijun Edwards,Pittsburgh Steelers,TRUE,SetList/GTS
324,Dallas Turner,Minnesota Vikings,TRUE,SetList/GTS
325,Darius Robinson,Arizona Cardinals,TRUE,SetList/GTS
326,Devin Culp,Tampa Bay Buccaneers,TRUE,SetList/GTS
327,Devin Leary,Baltimore Ravens,TRUE,SetList/GTS
328,Devontez Walker,Baltimore Ravens,TRUE,SetList/GTS
329,Drake Maye,New England Patriots,TRUE,SetList/GTS
330,Dylan Laube,Las Vegas Raiders,TRUE,SetList/GTS
331,Edgerrin Cooper,Green Bay Packers,TRUE,SetList/GTS
332,Ennis Rakestraw Jr.,Detroit Lions,TRUE,SetList/GTS
333,Erick All Jr.,Cincinnati Bengals,TRUE,SetList/GTS
334,J.C. Latham,Tennessee Titans,TRUE,SetList/GTS
335,Jacob Cowing,San Francisco 49ers,TRUE,SetList/GTS
336,Jaden Hicks,Kansas City Chiefs,TRUE,SetList/GTS
337,Jaheim Bell,New England Patriots,TRUE,SetList/GTS
338,Jalen McMillan,Tampa Bay Buccaneers,TRUE,SetList/GTS
339,Ja'Lynn Polk,New England Patriots,TRUE,SetList/GTS
340,Jamari Thrash,Cleveland Browns,TRUE,SetList/GTS
341,Jared Verse,Los Angeles Rams,TRUE,SetList/GTS
342,Jase McClellan,Atlanta Falcons,TRUE,SetList/GTS
343,Ja'Tavion Sanders,Carolina Panthers,TRUE,SetList/GTS
344,Javon Baker,New England Patriots,TRUE,SetList/GTS
345,Javon Bullard,Green Bay Packers,TRUE,SetList/GTS
346,Jawhar Jordan,Houston Texans,TRUE,SetList/GTS
347,Jayden Daniels,Washington Commanders,TRUE,SetList/GTS
348,Jaylen Wright,Miami Dolphins,TRUE,SetList/GTS
349,Jeremiah Trotter Jr.,Philadelphia Eagles,TRUE,SetList/GTS
350,Jermaine Burton,Cincinnati Bengals,TRUE,SetList/GTS
351,Jer'Zhan Newton,Washington Commanders,TRUE,SetList/GTS
352,Jha'Quan Jackson,Tennessee Titans,TRUE,SetList/GTS
353,Joe Alt,Los Angeles Chargers,TRUE,SetList/GTS
354,Joe Milton III,New England Patriots,TRUE,SetList/GTS
355,Johnny Wilson,Philadelphia Eagles,TRUE,SetList/GTS
356,Jonah Elliss,Denver Broncos,TRUE,SetList/GTS
357,Jonathon Brooks,Carolina Panthers,TRUE,SetList/GTS
358,Jordan Jefferson,Jacksonville Jaguars,TRUE,SetList/GTS
359,Jordan Travis,New York Jets,TRUE,SetList/GTS
360,Kamari Lassiter,Houston Texans,TRUE,SetList/GTS
361,Keilan Robinson,Jacksonville Jaguars,TRUE,SetList/GTS
362,Keon Coleman,Buffalo Bills,TRUE,SetList/GTS
363,Kool-Aid McKinstry,New Orleans Saints,TRUE,SetList/GTS
364,Kris Jenkins,Cincinnati Bengals,TRUE,SetList/GTS
365,Ladd McConkey,Los Angeles Chargers,TRUE,SetList/GTS
366,Laiatu Latu,Indianapolis Colts,TRUE,SetList/GTS
367,Luke McCaffrey,Washington Commanders,TRUE,SetList/GTS
368,Maason Smith,Jacksonville Jaguars,TRUE,SetList/GTS
369,Malachi Corley,New York Jets,TRUE,SetList/GTS
370,Malik Nabers,New York Giants,TRUE,SetList/GTS
371,Malik Washington,Miami Dolphins,TRUE,SetList/GTS
372,Marist Liufau,Dallas Cowboys,TRUE,SetList/GTS
373,Marshawn Kneeland,Dallas Cowboys,TRUE,SetList/GTS
374,MarShawn Lloyd,Green Bay Packers,TRUE,SetList/GTS
375,Marvin Harrison Jr.,Arizona Cardinals,TRUE,SetList/GTS
376,Max Melton,Arizona Cardinals,TRUE,SetList/GTS
377,Carson Steele,Kansas City Chiefs,TRUE,SetList/GTS
378,Michael Penix Jr.,Atlanta Falcons,TRUE,SetList/GTS
379,Michael Pratt,Green Bay Packers,TRUE,SetList/GTS
380,Nate Wiggins,Baltimore Ravens,TRUE,SetList/GTS
