card_number,player,team,xrc,team_hunt_eligible_2024,notes,source
501,Cam Ward,Tennessee Titans,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
502,Jaxson Dart,New York Giants,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
503,Tyler Shough,New Orleans Saints,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
504,Jalen Milroe,Seattle Seahawks,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
505,Shedeur Sanders,Cleveland Browns,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
506,Ashton Jeanty,Las Vegas Raiders,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
507,Omarion Hampton,Los Angeles Chargers,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
508,Quinshon Judkins,Cleveland Browns,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
509,TreVeyon Henderson,New England Patriots,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
510,RJ Harvey,Denver Broncos,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
511,Travis Hunter,Jacksonville Jaguars,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
512,Tetairoa McMillan,Carolina Panthers,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
513,Emeka Egbuka,Tampa Bay Buccaneers,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
514,Matthew Golden,Green Bay Packers,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
515,Jayden Higgins,Houston Texans,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
516,Colston Loveland,Chicago Bears,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
517,Tyler Warren,Indianapolis Colts,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
518,Travis Hunter,Jacksonville Jaguars,TRUE,FALSE,"2025 rookie class defensive XRC; product-level 2024 Select record only",Beckett
519,Abdul Carter,New York Giants,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
520,Mason Graham,Cleveland Browns,TRUE,FALSE,"2025 rookie class; product-level 2024 Select record only",Beckett
