team,slug,primary_target,primary_target_type,reference_filename,reference_product,reference_type,season
Arizona Cardinals,arizona-cardinals,Marvin Harrison Jr.,2024 Rookie,ari-marvin-harrison-jr-phoenix-color-blast.jpg,Panini Phoenix,Case Hit,2024
Atlanta Falcons,atlanta-falcons,Michael Penix Jr.,2024 Rookie,atl-michael-penix-jr-donruss-rated-rookie.jpg,Donruss,Rookie,2024
Baltimore Ravens,baltimore-ravens,Lamar Jackson,Star,bal-lamar-jackson-donruss-downtown.jpg,Donruss,Case Hit,2024
Buffalo Bills,buffalo-bills,Josh Allen,Star,buf-keon-coleman-mosaic-silver.jpg,Mosaic,Parallel,2024
Carolina Panthers,carolina-panthers,Xavier Legette,2024 Rookie,car-xavier-legette-select-zebra.jpg,Select,SSP,2024
Chicago Bears,chicago-bears,Caleb Williams,2024 Rookie,chi-caleb-williams-optic-rated-rookie-holo.jpg,Donruss Optic,Rookie Parallel,2024
Cincinnati Bengals,cincinnati-bengals,Joe Burrow,Star,cin-joe-burrow-prizm-silver.jpg,Prizm,Parallel,2024
Cleveland Browns,cleveland-browns,Myles Garrett,Star,cle-myles-garrett-select-green-disco.jpg,Select,Parallel,2024
Dallas Cowboys,dallas-cowboys,CeeDee Lamb,Star,dal-ceedee-lamb-select-neon-green.jpg,Select,Parallel,2024
Denver Broncos,denver-broncos,Bo Nix,2024 Rookie,den-bo-nix-donruss-rated-rookie-369.webp,Donruss,Rookie,2024
Detroit Lions,detroit-lions,Amon-Ra St. Brown,Star,det-amon-ra-st-brown-prizm-silver.jpg,Prizm,Parallel,2024
Green Bay Packers,green-bay-packers,Jordan Love,Star,gb-jordan-love-donruss.jpg,Donruss,Star,2024
Houston Texans,houston-texans,C.J. Stroud,Star,hou-cj-stroud-prizm-white-sparkle.jpg,Prizm,SSP,2024
Indianapolis Colts,indianapolis-colts,Anthony Richardson,Young Star,ind-adonai-mitchell-donruss-rated-rookie.jpg,Donruss,Rookie,2024
Jacksonville Jaguars,jacksonville-jaguars,Brian Thomas Jr.,2024 Rookie,jax-brian-thomas-jr-select-concourse.jpg,Select,Rookie,2024
Kansas City Chiefs,kansas-city-chiefs,Patrick Mahomes II,Star,kc-xavier-worthy-prizm-silver.jpg,Prizm,Rookie Parallel,2024
Las Vegas Raiders,las-vegas-raiders,Brock Bowers,2024 Rookie,lv-brock-bowers-donruss-rated-rookie.jpg,Donruss,Rookie,2024
Los Angeles Chargers,los-angeles-chargers,Ladd McConkey,2024 Rookie,lac-ladd-mcconkey-optic-rated-rookie-holo.jpg,Donruss Optic,Rookie Parallel,2024
Los Angeles Rams,los-angeles-rams,Puka Nacua,Young Star,lar-puka-nacua-mosaic-honeycomb.jpg,Mosaic,SSP,2024
Miami Dolphins,miami-dolphins,Tyreek Hill,Star,mia-devon-achane-prizm-choice.jpg,Prizm,Parallel,2024
Minnesota Vikings,minnesota-vikings,J.J. McCarthy,2024 Rookie,min-jj-mccarthy-clearly-donruss-rated-rookie.webp,Clearly Donruss,Rookie,2024
New England Patriots,new-england-patriots,Drake Maye,2024 Rookie,ne-drake-maye-select-prizm.webp,Select,Rookie Parallel,2024
New Orleans Saints,new-orleans-saints,Chris Olave,Young Star,no-chris-olave-select-numbers.jpg,Select,Insert,2024
New York Giants,new-york-giants,Malik Nabers,2024 Rookie,nyg-malik-nabers-mosaic-silver.jpg,Mosaic,Rookie Parallel,2024
New York Jets,new-york-jets,Garrett Wilson,Young Star,nyj-garrett-wilson-select-tie-dye.jpg,Select,Parallel,2024
Philadelphia Eagles,philadelphia-eagles,Saquon Barkley,Star,phi-saquon-barkley-select-field-level-white.jpg,Select,Parallel,2024
Pittsburgh Steelers,pittsburgh-steelers,T.J. Watt,Star,pit-tj-watt-prizm.jpg,Prizm,Star,2024
San Francisco 49ers,san-francisco-49ers,Brock Purdy,Star,sf-brock-purdy-donruss.webp,Donruss,Star,2024
Seattle Seahawks,seattle-seahawks,Jaxon Smith-Njigba,Young Star,sea-jaxon-smith-njigba-select-gold-dragon-scale.jpg,Select,Parallel,2024
Tampa Bay Buccaneers,tampa-bay-buccaneers,Bucky Irving,2024 Rookie,tb-bucky-irving-clearly-donruss-auto.png,Clearly Donruss,Rookie Auto,2024
Tennessee Titans,tennessee-titans,Calvin Ridley,Star,ten-calvin-ridley-score.jpg,Score,Star,2024
Washington Commanders,washington-commanders,Jayden Daniels,2024 Rookie,was-jayden-daniels-clearly-donruss.jpg,Clearly Donruss,Rookie,2024
