Team,Player,Year,Set,Card_or_Parallel,Type,Filename,Image_URL
Arizona Cardinals,Marvin Harrison Jr.,2024,Panini Phoenix,Color Blast,Case Hit,ari-marvin-harrison-jr-phoenix-color-blast.jpg,https://i.ebayimg.com/images/g/6NsAAeSwq2xpU29g/s-l1600.jpg
Atlanta Falcons,Michael Penix Jr.,2024,Donruss,Rated Rookie,Rookie,atl-michael-penix-jr-donruss-rated-rookie.jpg,https://i.ebayimg.com/images/g/Vo4AAOSwmMNnYlOH/s-l1200.jpg
Baltimore Ravens,Lamar Jackson,2024,Donruss,Downtown,Case Hit,bal-lamar-jackson-donruss-downtown.jpg,https://i.ebayimg.com/images/g/DEQAAeSwz2Jo0W1n/s-l1600.jpg
Buffalo Bills,Keon Coleman,2024,Mosaic,Silver Rookie,Parallel,buf-keon-coleman-mosaic-silver.jpg,https://i.ebayimg.com/images/g/TRYAAOSw~NtnX2xR/s-l1200.jpg
Carolina Panthers,Xavier Legette,2024,Select,Premier Level Zebra,SSP,car-xavier-legette-select-zebra.jpg,https://i.ebayimg.com/images/g/dwYAAeSw5rNomNzW/s-l1600.jpg
Chicago Bears,Caleb Williams,2024,Donruss Optic,Rated Rookie Holo,Rookie Parallel,chi-caleb-williams-optic-rated-rookie-holo.jpg,https://i.ebayimg.com/images/g/LaEAAeSwYEdnwTcS/s-l1600.jpg
Cincinnati Bengals,Joe Burrow,2024,Prizm,Silver,Parallel,cin-joe-burrow-prizm-silver.jpg,https://storage.googleapis.com/images.pricecharting.com/kcw2qnpnbhdv3xud/1600.jpg
Cleveland Browns,Myles Garrett,2024,Select,Green Disco Prizm,Parallel,cle-myles-garrett-select-green-disco.jpg,https://storage.googleapis.com/images.pricecharting.com/corrtlu2siw5ep6alfdd/1600.jpg
Dallas Cowboys,CeeDee Lamb,2024,Select,Neon Green Prizm,Parallel,dal-ceedee-lamb-select-neon-green.jpg,https://storage.googleapis.com/images.pricecharting.com/corrjkdjj65xavfc4h6n/1600.jpg
Denver Broncos,Bo Nix,2024,Donruss,Rated Rookie #369,Rookie,den-bo-nix-donruss-rated-rookie-369.webp,https://tools.toywiz.com/_images/_webp/_products/lg/bonix369.webp
